"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"emax",88.9974970467507,0.234330266720934,6.90228092985206,74.9827490910426,84.0684554973214,89.5637458491798,94.7486898931007,99.5245952207633,867.617871892378,1.00390058382233
"ec50",115.688489781887,0.671593915327555,19.750874838959,78.8571789511465,100.73407123925,115.875949512466,131.510834337315,150.176033601268,864.886599582072,1.00403085985185
"gamma",1.02188098982775,0.00312257432639549,0.0979060990136321,0.865587757482834,0.953377243241253,1.00962332647522,1.07488558061626,1.24895848124678,983.091461987965,1.00313349731118
"sigma",6.05941429261799,0.0108608332028183,0.485862558809054,5.1968770682858,5.71165245380569,6.03199467950615,6.37193570819083,7.08319663773768,2001.24646662549,1.00091658364548
