"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"EMAX","86.6","0.319","6.34","73.6","82.3","87.1","91.4","97.4"," 396","1.02"
"EC50"," 109","1.13","17.7","74.7","96.4"," 109"," 122"," 141"," 244","1.02"
"GAMMA","1.04","0.00399","0.0936","0.896","0.975","1.03"," 1.1","1.25"," 551","1.01"
"sigma","6.05","0.0159","0.515","5.13","5.69","6.03","6.37","7.18","1.05e+03","   1"
