"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"EMAX","87.5","0.32","5.98","75.2","83.3","87.7","  92","97.5"," 349","1.01"
"EC50"," 111","0.899","16.9","79.2","99.1"," 111"," 123"," 143"," 352","1.01"
"GAMMA","1.03","0.00409","0.0921","0.883","0.97","1.02","1.09","1.24"," 508","1.01"
"sigma","6.08","0.00762","0.499"," 5.2","5.73","6.05"," 6.4","7.14","4.29e+03","   1"
