"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"OMEGA77","0.121","0.0035","0.0815","0.0412","0.0691","0.101","0.143","0.339"," 493","1.01","   1","0.0459","0.101","0.268","0.00147","0.00204","0.00256","0.00463","0.0147","0.00248"," 535"," 744"
"OMEGA18","0.0372","0.0025","0.062","-0.0583","0.00672","0.0287","0.0594","0.167"," 586","   1","   1","-0.0343","0.0287","0.129","0.0118","0.00154","0.00205","0.00303","0.0129","0.00177"," 725"," 701"
"OMEGA28","-0.0206","0.00222","0.0628","-0.159","-0.048","-0.0165","0.0101","0.104"," 777","   1","   1","-0.126","-0.0165","0.0678","0.0102","0.003","0.00211","0.00219","0.0108","0.00157"," 818"," 802"
"OMEGA38","0.00601","0.00197","0.052","-0.0856","-0.0193","0.0029","0.0276","0.124"," 669","   1","   1","-0.0677","0.0029","0.0862","0.00369","0.00176","0.00136","0.00178","0.0126","0.00139"," 787"," 786"
"OMEGA48","0.0265","0.00257","0.0672","-0.0977","-0.00563","0.0212","0.0549","0.17"," 662","   1","   1","-0.0683","0.0212","0.145","0.0101","0.00269","0.00191","0.00409","0.00992","0.00182"," 632"," 810"
"OMEGA58","-0.00619","0.00209","0.0583","-0.132","-0.0286","-0.00455","0.0162","0.114"," 759","1.01","   1","-0.0877","-0.00455","0.0695","0.0106","0.00181","0.00145","0.00137","0.0151","0.00148"," 790"," 758"
"OMEGA68","-0.0103","0.00237","0.0488","-0.0983","-0.0311","-0.00807","0.0126","0.0716"," 427","   1","   1","-0.077","-0.00807","0.0499","0.00871","0.00133","0.00136","0.00187","0.0099","0.00168"," 525"," 578"
"OMEGA78","0.0148","0.00232","0.0564","-0.0807","-0.0113","0.0117","0.0358","0.134"," 497","   1","   1","-0.0592","0.0117","0.102","0.00475","0.00209","0.00159","0.00238","0.0158","0.00164"," 641"," 542"
"OMEGA88","0.122","0.00358","0.0836","0.0421","0.0731","0.101","0.143","0.34"," 531","1.01","   1","0.0468","0.101","0.264","0.00147","0.00145","0.00195","0.00394","0.0277","0.00253"," 662"," 713"
"CLHat","11.2","0.0537","1.57","8.35","  10","  11","12.1","14.6"," 832","   1","   1","8.78","  11","13.8"," 0.1","0.0486","0.0739","0.074","0.276","0.038"," 852"," 799"
"QHat","22.6","0.125","3.63","15.9","20.2","22.4","24.9","30.2"," 792","   1","   1","16.8","22.4","28.9","0.318","0.186","0.178","0.185","0.374","0.0881"," 848"," 837"
"V1Hat","29.2","0.194","5.51","18.7","25.5","29.1","32.8","40.5"," 801","   1","   1","20.3","29.1","38.5","0.285","0.216","0.216","0.186","0.58","0.137"," 791"," 726"
"V2Hat"," 117","0.699","20.4","82.9"," 103"," 114"," 128"," 162"," 833","0.999","   1","88.8"," 114"," 152","1.32","0.777","0.652","1.06"," 3.7","0.495"," 827"," 912"
"KaHat","1.69","0.0128","0.344"," 1.1","1.44","1.66","1.92","2.42"," 712","   1","   1","1.17","1.66","2.28","0.0169","0.017","0.016","0.0177","0.0305","0.00908"," 704"," 715"
"MTTHat"," 118","0.468","13.1","93.7"," 109"," 118"," 127"," 145"," 741","   1","   1","98.1"," 118"," 140","1.02","0.52","0.448","0.627","1.61","0.331"," 782"," 653"
"CIRC0Hat","5.75","0.0219","0.686","4.46","5.28","5.73","6.19","7.15"," 956","   1","   1","4.64","5.73","6.85","0.0474","0.0303","0.0282","0.0216","0.0819","0.0155"," 960"," 950"
"ALPHAHat","0.000323","1.67e-06","4.72e-05","0.000236","0.000291","0.000321","0.000352","0.000426"," 780","   1","   1","0.00025","0.000321","0.000402","4.01e-06","1.91e-06","2.04e-06","2.45e-06","7.45e-06","1.2e-06"," 834"," 833"
"GAMMAHat","0.151","0.000394","0.013","0.127","0.142","0.15","0.16","0.177","1.05e+03","1.01","   1","0.131","0.15","0.173","0.00109","0.000446","0.000674","0.000645","0.000902","0.00028","1.09e+03"," 963"
"SigmaPK"," 0.1","0.000133","0.00442","0.092","0.0974"," 0.1","0.103","0.109","1.06e+03","   1","   1","0.093"," 0.1","0.108","0.000234","0.000156","0.00018","0.000223","0.000306","9.47e-05","1.1e+03"," 938"
"SigmaPD","0.106","0.000218","0.00678","0.0941","0.102","0.106","0.111","0.121"," 908","   1","   1","0.0958","0.106","0.118","0.000501","0.000254","0.000246","0.000251","0.00083","0.000157","1.01e+03"," 905"
